strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
'57 Chevy with a White License Plate,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,Creme de Cacao,1 oz white ,Vodka,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Absolut Kurant,1/2 oz ,Grand Marnier,1/4 oz ,Chambord raspberry liqueur,1/4 oz ,Midori melon liqueur,1/4 oz ,Malibu rum,1/4 oz ,Amaretto,1/4 oz ,Cranberry juice,1/2 oz ,Pineapple juice,1/4 oz ,, ,, ,, ,, ,, ,,,,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,16 oz ,Tequila,1.5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Drop shooter in glass. Fill with beer
151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Malibu rum,1/2 oz ,Light rum,1/2 oz ,151 proof rum,1/2 oz Bacardi ,Dark Creme de Cacao,1 oz ,Cointreau,1 oz ,Milk,3 oz ,Coconut liqueur,1 oz ,Vanilla ice-cream,1 cup ,, ,, ,, ,, ,, ,,,,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Dark rum,1 shot ,Light rum,2 shots ,Vodka,1 shot ,Orange juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,Goldschlager,1/2 oz ,Jägermeister,1/2 oz ,Rumple Minze,1/2 oz ,151 proof rum,1/2 oz Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Add over ice,shake and pour."
252,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,151 proof rum,1/2 shot Bacardi ,Wild Turkey,1/2 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,Jack Daniels,1/3 oz ,Johnnie Walker,1/3 oz ,Jim Beam,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,1/2 oz ,Light rum,1/2 oz ,Tequila,1/2 oz ,Triple sec,1/2 oz ,Vodka,1/2 oz ,Coca-Cola,"
",Sweet and sour,1-2 dash ,Bitters,1 wedge ,Lemon, ,, ,, ,, ,, ,,,,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,2-3 oz,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
