strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
'57 Chevy with a White License Plate,Alcoholic,Cocktail,Highball glass,Creme de Cacao Vodka             ,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,Alcoholic,Shot,Old-fashioned glass,Absolut Kurant Grand Marnier Chambord raspberry liqueur Midori melon liqueur Malibu rum Amaretto Cranberry juice Pineapple juice       ,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,Alcoholic,Beer,Beer Glass,Lager Tequila             ,Drop shooter in glass. Fill with beer
151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,Beer mug,Malibu rum Light rum 151 proof rum Dark Creme de Cacao Cointreau Milk Coconut liqueur Vanilla ice-cream       ,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,Alcoholic,Cocktail,White wine glass,Dark rum Light rum Vodka Orange juice           ,Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,Alcoholic,Shot,Shot glass,Goldschlager Jägermeister Rumple Minze 151 proof rum           ,"Add over ice,shake and pour."
252,Alcoholic,Shot,Shot glass,151 proof rum Wild Turkey             ,"Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,Alcoholic,Shot,Collins glass,Jack Daniels Johnnie Walker Jim Beam            ,put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,Collins Glass,Gin Light rum Tequila Triple sec Vodka Coca-Cola Sweet and sour Bitters Lemon      ,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,Alcoholic,Ordinary Drink,Collins Glass,Peach Vodka Coca-Cola             ,
50/50,Alcoholic,Ordinary Drink,Collins Glass,Vanilla vodka Grand Marnier Orange juice            ,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,Alcoholic,Ordinary Drink,Collins Glass,Blue Curacao Blueberry schnapps Vodka Sour mix 7-Up          ,Mix equal amounts into a glass with ice.
69 Special,Alcoholic,Ordinary Drink,Collins Glass,Gin 7-Up Lemon juice            ,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,Alcoholic,Shot,Shot glass,Kahlua Bailey's irish cream Frangelico            ,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,Alcoholic,Cocktail,Cocktail glass,Absolut Citron Orange Curacao Strawberry liqueur Orange juice           ,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,Alcoholic,Ordinary Drink,Highball glass,Coconut rum Amaretto Orange juice Grenadine           ,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,Alcoholic,Ordinary Drink,Highball glass,Light rum Ginger beer Lemon peel            ,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,Alcoholic,Cocktail,Collins glass,Vodka Peach schnapps Orange juice Cranberry juice           ,"Shaken, not stirred!"
A Night In Old Mandalay,Alcoholic,Ordinary Drink,Highball glass,Light rum Añejo rum Orange juice Lemon juice Ginger ale Lemon peel         ,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Piece of Ass,Alcoholic,Other/Unknown,Highball glass,Amaretto Southern Comfort Ice Sour mix           ,Put ice in glass. Pour in shots. Fill with Sour Mix.
A Splash of Nash,Alcoholic,Shot,Highball glass,Cranberry juice Soda water Midori melon liqueur Creme de Banane           ,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
A True Amaretto Sour,Alcoholic,Cocktail,Old-fashioned glass,Amaretto Lemon Ice Maraschino cherry           ,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A midsummernight dream,Alcoholic,Ordinary Drink,Collins Glass,Vodka Kirschwasser Strawberry liqueur Strawberries Schweppes Russchian          ,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
A. J.,Alcoholic,Ordinary Drink,Cocktail glass,Applejack Grapefruit juice             ,"Shake ingredients with ice, strain into a cocktail glass, and serve."
A.D.M. (After Dinner Mint),Alcoholic,Cocktail,Irish coffee cup,White Creme de Menthe Southern Comfort Vodka Hot chocolate           ,shake vigorously
A1,Alcoholic,Cocktail,Cocktail glass,Gin Grand Marnier Lemon Juice Grenadine           ,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
ABC,Alcoholic,Shot,Shot glass,Amaretto Bailey's irish cream Cognac            ,Layered in a shot glass.
ACID,Alcoholic,Shot,Shot glass,151 proof rum Wild Turkey             ,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
AT&T,Alcoholic,Ordinary Drink,Highball Glass,Absolut Vodka Gin Tonic water            ,"Pour Vodka and Gin over ice, add Tonic and Stir"
Abbey Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Gin Orange bitters Orange Cherry           ,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abbey Martini,Alcoholic,Cocktail,Cocktail glass,Gin Sweet Vermouth Orange Juice Angostura Bitters           ,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Abilene,Alcoholic,Ordinary Drink,Highball glass,Dark rum Peach nectar Orange juice            ,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Absinthe #2,Alcoholic,Homemade Liqueur,Jar,Vodka Sugar Anise Licorice root Wormwood          ,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
Absolut Evergreen,Alcoholic,Other/Unknown,Collins Glass,Absolut Citron Pisang Ambon Ice Bitter lemon           ,"Mix, pour over ice and top up with Bitter Lemon."
Absolut Sex,Alcoholic,Shot,Old-fashioned glass,Absolut Kurant Midori melon liqueur Cranberry juice Sprite           ,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
Absolut Stress #2,Alcoholic,Ordinary Drink,Collins Glass,Absolut Vodka Peach schnapps Coconut liqueur Cranberry juice Pineapple juice          ,Mix well. Garnish with Orange and Cherry. Enjoy
Absolut Summertime,Alcoholic,Cocktail,Collins glass,Absolut Citron Sweet and sour Sprite Soda water Lemon          ,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolut limousine,Alcoholic,Other/Unknown,Collins Glass,Absolut Citron Lime juice Ice Tonic water           ,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
Absolutely Cranberry Smash,Alcoholic,Ordinary Drink,Cocktail glass,Absolut Vodka Cranberry juice Ginger ale Ice           ,Stir ingredients together. Serve over ice.
Absolutely Fabulous,Alcoholic,Cocktail,Champagne flute,Vodka Cranberry Juice Champagne            ,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,Alcoholic,Cocktail,Collins glass,Absolut Citron Orange juice Triple sec Ginger ale           ,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Acapulco,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Triple sec Lime juice Sugar Egg white Mint         ,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Ace,Alcoholic,Cocktail,Martini Glass,Gin Grenadine Heavy cream Milk Egg White          ,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,Alcoholic,Ordinary Drink,Cocktail glass,Dark rum Lemon juice Grenadine            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Adam & Eve,Alcoholic,Cocktail,Cocktail glass,Gin Cognac Creme de Cassis Fresh Lemon Juice           ,Shake together all the ingredients and strain into a cold glass.
Adam Bomb,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,Rum Vodka Tequila Triple sec Fruit Ice Salt Fruit juice       ,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
Adam Sunrise,Alcoholic,Ordinary Drink,Collins Glass,Vodka Lemonade Water Sugar           ,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
Addington,Alcoholic,Cocktail,Cocktail glass,Sweet Vermouth Dry Vermouth Soda Water            ,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,Alcoholic,Cocktail,Martini Glass,Gin Vermouth             ,Shake together all the ingredients and strain into a cold glass.
Addison Special,Alcoholic,Cocktail,Old-fashioned glass,Vodka Grenadine Orange juice            ,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,Alcoholic,Cocktail,Martini Glass,Rum Dry Vermouth Cognac Gin Fresh Lime Juice Sugar Syrup Water        ,Shake together all the ingredients and strain into a cold glass.
Adonis Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Sherry Orange bitters            ,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Affair,Alcoholic,Ordinary Drink,Highball glass,Strawberry schnapps Orange juice Cranberry juice Club soda           ,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
Affinity,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Sweet Vermouth Dry Vermouth Orange bitters           ,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
After Dinner Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Apricot brandy Triple sec Lime Lime           ,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Five,Alcoholic,Shot,Shot glass,Peppermint schnapps Kahlua Bailey's irish cream            ,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled"
After Supper Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Triple sec Apricot brandy Lemon juice            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
After sex,Alcoholic,Ordinary Drink,Highball glass,Vodka Creme de Banane Orange juice            ,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
Afterglow,Non alcoholic,Cocktail,Highball Glass,Grenadine Orange juice Pineapple juice            ,Mix. Serve over ice.
Afternoon,Alcoholic,Coffee / Tea,Collins Glass,Kahlua Bailey's irish cream Frangelico Coffee Cream          ,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
Alabama Slammer,Alcoholic,Ordinary Drink,Highball glass,Southern Comfort Amaretto Sloe gin Lemon juice           ,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
Alaska Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Orange bitters Gin Yellow Chartreuse Lemon peel           ,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Gin Creme de Cacao Light cream Nutmeg           ,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alfie Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Lemon vodka Triple sec Pineapple juice            ,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
Algonquin,Alcoholic,Ordinary Drink,Cocktail glass,Blended whiskey Dry Vermouth Pineapple juice            ,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Alice Cocktail,Non alcoholic,Cocktail,Cocktail glass,Grenadine Orange juice Pineapple juice Cream           ,"Shake well, strain into a large cocktail glass."
Alice in Wonderland,Alcoholic,Ordinary Drink,Collins Glass,Amaretto Grand Marnier Southern Comfort            ,Just mix the three ingredients one to one to one
Allegheny,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Bourbon Blackberry brandy Lemon juice Lemon peel          ,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Allies Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Gin Kummel            ,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Almeria,Alcoholic,Ordinary Drink,Cocktail glass,Dark rum Kahlua Egg white            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Almond Chocolate Coffee,Alcoholic,Ordinary Drink,Coffee mug,Amaretto Dark Creme de Cacao Coffee            ,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
Almond Joy,Alcoholic,Ordinary Drink,Cocktail glass,Amaretto Creme de Cacao Light cream            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Aloha Fruit punch,Non alcoholic,Punch / Party Drink,Collins Glass,Water Ginger Guava juice Lemon juice Pineapple Sugar Pineapple juice        ,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
Amaretto And Cream,Alcoholic,Ordinary Drink,Cocktail glass,Amaretto Light cream             ,"Shake well with cracked ice, strain contents into a cocktail glass, and serve."
Amaretto Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,Sugar Water Apricot Almond flavoring Grain alcohol Water Brandy Food coloring Food coloring Food coloring Glycerine    ,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
Amaretto Mist,Alcoholic,Ordinary Drink,Old-fashioned glass,Amaretto Lime             ,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
Amaretto Rose,Alcoholic,Ordinary Drink,Collins glass,Amaretto Lime juice Club soda            ,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
Amaretto Shake,Alcoholic,Ordinary Drink,Collins Glass,Chocolate ice-cream Brandy Amaretto            ,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
Amaretto Sour,Alcoholic,Ordinary Drink,Collins Glass,Amaretto Sour mix             ,Shake and strain. Garnish with a cherry and an orange slice.
Amaretto Stinger,Alcoholic,Ordinary Drink,Cocktail glass,Amaretto White Creme de Menthe             ,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
Amaretto Stone Sour,Alcoholic,Other/Unknown,Collins Glass,Amaretto Sour mix Orange juice            ,Shake and Serve over ice
Amaretto Stone Sour #3,Alcoholic,Other/Unknown,Highball glass,Sour mix Amaretto Tequila Orange juice           ,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
Amaretto Sunrise,Alcoholic,Ordinary Drink,Collins Glass,Amaretto Orange juice Grenadine            ,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
Amaretto Sunset,Alcoholic,Ordinary Drink,Collins Glass,Triple sec Amaretto Cider Ice           ,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange."
